combo_index,h4_min_rsi_a,h4_overextension_mode,h4_min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,use_d1_regime,d1_rsi_min,d1_rsi_max,d1_atr_min,d1_atr_max,d1_bbw_min,d1_bbw_max,d1_trend_min,d1_trend_max,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
160,55.0,touch_only,85.0,8,2,5.0,True,45.0,65.0,0.0,2.0,0.0,20.0,0.0,25.0,391,178,213,45.52,225.9,0.58,1.055,617.4,0.58
161,55.0,touch_only,85.0,8,2,5.0,True,45.0,65.0,0.0,2.0,0.0,20.0,0.0,15.0,391,178,213,45.52,225.9,0.58,1.055,617.4,0.58
164,55.0,touch_only,85.0,8,2,5.0,True,45.0,65.0,0.0,2.0,0.0,15.0,0.0,15.0,391,178,213,45.52,225.9,0.58,1.055,617.4,0.58
163,55.0,touch_only,85.0,8,2,5.0,True,45.0,65.0,0.0,2.0,0.0,15.0,0.0,25.0,391,178,213,45.52,225.9,0.58,1.055,617.4,0.58
1473,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1476,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,-1000000000.0,1000000000.0,0.0,20.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1479,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,-1000000000.0,1000000000.0,0.0,15.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1482,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,0.0,3.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1485,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,0.0,3.0,0.0,20.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1488,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,0.0,3.0,0.0,15.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1491,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,0.0,2.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1494,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,0.0,2.0,0.0,20.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1497,58.0,close_above_ubb,85.0,8,2,5.0,True,50.0,65.0,0.0,2.0,0.0,15.0,-1000000000.0,1000000000.0,263,126,137,47.91,142.8,0.54,1.053,411.4,0.54
1691,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
1694,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,-1000000000.0,1000000000.0,0.0,20.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
1697,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,-1000000000.0,1000000000.0,0.0,15.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
1700,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,0.0,3.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
1703,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,0.0,3.0,0.0,20.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
1706,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,0.0,3.0,0.0,15.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
1709,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,0.0,2.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
1712,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,0.0,2.0,0.0,20.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
1715,58.0,close_above_ubb,85.0,10,2,5.0,True,50.0,65.0,0.0,2.0,0.0,15.0,-1000000000.0,1000000000.0,263,126,137,47.91,140.2,0.53,1.052,414.0,0.53
357,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
358,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
360,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,-1000000000.0,1000000000.0,0.0,20.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
361,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,-1000000000.0,1000000000.0,0.0,20.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
363,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,-1000000000.0,1000000000.0,0.0,15.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
364,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,-1000000000.0,1000000000.0,0.0,15.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
366,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,3.0,-1000000000.0,1000000000.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
367,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,3.0,-1000000000.0,1000000000.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
369,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,3.0,0.0,20.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
370,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,3.0,0.0,20.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
372,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,3.0,0.0,15.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
373,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,3.0,0.0,15.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
375,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,2.0,-1000000000.0,1000000000.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
376,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,2.0,-1000000000.0,1000000000.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
378,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,2.0,0.0,20.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
379,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,2.0,0.0,20.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
381,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,2.0,0.0,15.0,0.0,25.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
382,55.0,touch_only,85.0,10,2,5.0,True,45.0,65.0,0.0,2.0,0.0,15.0,0.0,15.0,391,177,214,45.27,204.8,0.52,1.05,623.2,0.52
30,55.0,touch_only,85.0,8,2,3.0,True,45.0,65.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,0.0,25.0,389,177,212,45.5,157.3,0.4,1.038,723.6,0.4
31,55.0,touch_only,85.0,8,2,3.0,True,45.0,65.0,-1000000000.0,1000000000.0,-1000000000.0,1000000000.0,0.0,15.0,389,177,212,45.5,157.3,0.4,1.038,723.6,0.4
33,55.0,touch_only,85.0,8,2,3.0,True,45.0,65.0,-1000000000.0,1000000000.0,0.0,20.0,0.0,25.0,389,177,212,45.5,157.3,0.4,1.038,723.6,0.4
34,55.0,touch_only,85.0,8,2,3.0,True,45.0,65.0,-1000000000.0,1000000000.0,0.0,20.0,0.0,15.0,389,177,212,45.5,157.3,0.4,1.038,723.6,0.4
36,55.0,touch_only,85.0,8,2,3.0,True,45.0,65.0,-1000000000.0,1000000000.0,0.0,15.0,0.0,25.0,389,177,212,45.5,157.3,0.4,1.038,723.6,0.4
