combo_index,min_rsi_a,overextension_mode,min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
97,58.0,touch_only,90.0,10,2,3.0,1329,623,706,46.88,1165.1,0.88,1.079,1264.6,0.88
106,58.0,touch_only,95.0,10,2,3.0,1329,623,706,46.88,1165.1,0.88,1.079,1264.6,0.88
115,58.0,high_above_ubb,85.0,10,2,3.0,1329,623,706,46.88,1165.1,0.88,1.079,1264.6,0.88
124,58.0,high_above_ubb,90.0,10,2,3.0,1329,623,706,46.88,1165.1,0.88,1.079,1264.6,0.88
133,58.0,high_above_ubb,95.0,10,2,3.0,1329,623,706,46.88,1165.1,0.88,1.079,1264.6,0.88
85,58.0,touch_only,85.0,8,2,3.0,1329,625,704,47.03,1162.5,0.87,1.079,1248.4,0.87
94,58.0,touch_only,90.0,8,2,3.0,1329,625,704,47.03,1162.5,0.87,1.079,1248.4,0.87
103,58.0,touch_only,95.0,8,2,3.0,1329,625,704,47.03,1162.5,0.87,1.079,1248.4,0.87
112,58.0,high_above_ubb,85.0,8,2,3.0,1329,625,704,47.03,1162.5,0.87,1.079,1248.4,0.87
121,58.0,high_above_ubb,90.0,8,2,3.0,1329,625,704,47.03,1162.5,0.87,1.079,1248.4,0.87
130,58.0,high_above_ubb,95.0,8,2,3.0,1329,625,704,47.03,1162.5,0.87,1.079,1248.4,0.87
167,60.0,touch_only,85.0,8,2,5.0,1204,562,642,46.68,1025.1,0.85,1.079,997.7,0.85
176,60.0,touch_only,90.0,8,2,5.0,1204,562,642,46.68,1025.1,0.85,1.079,997.7,0.85
185,60.0,touch_only,95.0,8,2,5.0,1204,562,642,46.68,1025.1,0.85,1.079,997.7,0.85
194,60.0,high_above_ubb,85.0,8,2,5.0,1204,562,642,46.68,1025.1,0.85,1.079,997.7,0.85
203,60.0,high_above_ubb,90.0,8,2,5.0,1204,562,642,46.68,1025.1,0.85,1.079,997.7,0.85
212,60.0,high_above_ubb,95.0,8,2,5.0,1204,562,642,46.68,1025.1,0.85,1.079,997.7,0.85
164,60.0,touch_only,85.0,6,2,5.0,1204,560,644,46.51,1007.2,0.84,1.078,997.1,0.84
173,60.0,touch_only,90.0,6,2,5.0,1204,560,644,46.51,1007.2,0.84,1.078,997.1,0.84
182,60.0,touch_only,95.0,6,2,5.0,1204,560,644,46.51,1007.2,0.84,1.078,997.1,0.84
191,60.0,high_above_ubb,85.0,6,2,5.0,1204,560,644,46.51,1007.2,0.84,1.078,997.1,0.84
200,60.0,high_above_ubb,90.0,6,2,5.0,1204,560,644,46.51,1007.2,0.84,1.078,997.1,0.84
209,60.0,high_above_ubb,95.0,6,2,5.0,1204,560,644,46.51,1007.2,0.84,1.078,997.1,0.84
170,60.0,touch_only,85.0,10,2,5.0,1204,561,643,46.59,994.3,0.83,1.077,997.9,0.83
179,60.0,touch_only,90.0,10,2,5.0,1204,561,643,46.59,994.3,0.83,1.077,997.9,0.83
188,60.0,touch_only,95.0,10,2,5.0,1204,561,643,46.59,994.3,0.83,1.077,997.9,0.83
197,60.0,high_above_ubb,85.0,10,2,5.0,1204,561,643,46.59,994.3,0.83,1.077,997.9,0.83
206,60.0,high_above_ubb,90.0,10,2,5.0,1204,561,643,46.59,994.3,0.83,1.077,997.9,0.83
215,60.0,high_above_ubb,95.0,10,2,5.0,1204,561,643,46.59,994.3,0.83,1.077,997.9,0.83
89,58.0,touch_only,85.0,10,2,5.0,1339,621,718,46.38,1093.2,0.82,1.076,1278.0,0.82
98,58.0,touch_only,90.0,10,2,5.0,1339,621,718,46.38,1093.2,0.82,1.076,1278.0,0.82
107,58.0,touch_only,95.0,10,2,5.0,1339,621,718,46.38,1093.2,0.82,1.076,1278.0,0.82
116,58.0,high_above_ubb,85.0,10,2,5.0,1339,621,718,46.38,1093.2,0.82,1.076,1278.0,0.82
125,58.0,high_above_ubb,90.0,10,2,5.0,1339,621,718,46.38,1093.2,0.82,1.076,1278.0,0.82
134,58.0,high_above_ubb,95.0,10,2,5.0,1339,621,718,46.38,1093.2,0.82,1.076,1278.0,0.82
82,58.0,touch_only,85.0,6,2,3.0,1330,622,708,46.77,1104.4,0.83,1.075,1255.5,0.83
91,58.0,touch_only,90.0,6,2,3.0,1330,622,708,46.77,1104.4,0.83,1.075,1255.5,0.83
100,58.0,touch_only,95.0,6,2,3.0,1330,622,708,46.77,1104.4,0.83,1.075,1255.5,0.83
109,58.0,high_above_ubb,85.0,6,2,3.0,1330,622,708,46.77,1104.4,0.83,1.075,1255.5,0.83
118,58.0,high_above_ubb,90.0,6,2,3.0,1330,622,708,46.77,1104.4,0.83,1.075,1255.5,0.83
127,58.0,high_above_ubb,95.0,6,2,3.0,1330,622,708,46.77,1104.4,0.83,1.075,1255.5,0.83
86,58.0,touch_only,85.0,8,2,5.0,1339,622,717,46.45,1089.7,0.81,1.075,1277.8,0.81
95,58.0,touch_only,90.0,8,2,5.0,1339,622,717,46.45,1089.7,0.81,1.075,1277.8,0.81
104,58.0,touch_only,95.0,8,2,5.0,1339,622,717,46.45,1089.7,0.81,1.075,1277.8,0.81
113,58.0,high_above_ubb,85.0,8,2,5.0,1339,622,717,46.45,1089.7,0.81,1.075,1277.8,0.81
122,58.0,high_above_ubb,90.0,8,2,5.0,1339,622,717,46.45,1089.7,0.81,1.075,1277.8,0.81
