combo_index,min_rsi_a,require_close_above_ubb,min_bb_touch_strength_a,min_candle_rejection_b,min_volume_ratio_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
151,65.0,False,0.0,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
150,65.0,True,0.0,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
152,65.0,True,0.0,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
153,65.0,False,0.0,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
154,65.0,True,0.0,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
155,65.0,False,0.0,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
156,65.0,True,0.0,0.6,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
157,65.0,False,0.0,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
158,65.0,True,0.0,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
159,65.0,False,0.0,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
160,65.0,True,0.0,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
169,65.0,False,0.2,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
171,65.0,False,0.2,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
170,65.0,True,0.2,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
173,65.0,False,0.2,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
172,65.0,True,0.2,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
174,65.0,True,0.2,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
175,65.0,False,0.2,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
176,65.0,True,0.2,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
177,65.0,False,0.2,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
178,65.0,True,0.2,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
179,65.0,False,0.2,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
181,65.0,False,0.2,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
180,65.0,True,0.2,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
182,65.0,True,0.2,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
183,65.0,False,0.2,0.4,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
185,65.0,False,0.2,0.6,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
